"obj_id","mjd_tdb","x","y","z","vx","vy","vz","a","e","i","raan","ap","M","q","tp"
"458508 (2011 CM42)",57863,-2.33942395564163,-0.365845513752185,-1.00939523643846,0.002708132986793,-0.002996736922711,-0.002996736922711,3.19403764659366,0.19549519865108,27.5951752257251,314.242739453563,229.538147413108,5.4850244381732,2.5696186223738,57831.2323902513
"(2014 HD196)",57863,0.854391612668724,1.62779508012929,-0.2867288841425,-0.009788940876787,-0.002424622408458,-0.002424622408458,1.55432151945673,0.199249581752242,15.0997575062909,206.992666813381,43.2135122874161,169.819510746899,1.24462360679647,57529.1166201328
"Bernardinelli-Bernstein (C/2014 UN271)",57863,17.4044965652044,1.22440171605469,-18.9474517373505,-0.004693043611986,0.000576821491669,0.000576821491669,22294.4761892923,0.999508704185036,95.5667269298027,190.099878740004,326.269834387436,359.998511571132,10.9531828486284,62890.1277338133
"Cameron-ISON (P/2015 PD229)",57863,4.50771467023203,3.16541629018451,0.154209726577236,-0.002970614772118,0.000224580362634,0.000224580362634,7.17595143253863,0.326845475675987,2.02600262081523,342.758421663684,352.284123158949,31.5663268958962,4.83052417314276,57247.3424469975
