obj_id,mjd_tdb,x,y,z,vx,vy,vz,a,e,i,raan,ap,M,q,tp
458508 (2011 CM42),57863.0,-2.33942395564163,-0.3658455137521852,-1.009395236438459,0.002708132986793148,-0.01099826393246929,-0.002996736922710569,3.1940376465936557,0.1954951986510803,27.595175225725132,314.24273945356265,229.53814741310825,5.485024438173199,2.5696186223738,57831.23239025128
(2014 HD196),57863.0,0.8543916126687239,1.627795080129291,-0.2867288841424998,-0.009788940876786644,0.005098655507081249,-0.002424622408458367,1.5543215194567297,0.19924958175224236,15.099757506290912,206.99266681338074,43.213512287416144,169.81951074689945,1.2446236067964664,57529.116620132816
Bernardinelli-Bernstein (C/2014 UN271),57863.0,17.40449656520438,1.224401716054693,-18.94745173735049,-0.004693043611985843,-0.0007788435585645413,0.0005768214916690081,22294.476189292294,0.9995087041850355,95.56672692980266,190.0998787400041,326.2698343874359,359.99851157113153,10.953182848628432,62890.12773381332
Cameron-ISON (P/2015 PD229),57863.0,4.507714670232026,3.165416290184509,0.1542097265772357,-0.002970614772118445,0.007569157565920724,0.0002245803626338202,7.175951432538632,0.3268454756759875,2.0260026208152335,342.7584216636844,352.28412315894894,31.566326895896164,4.830524173142758,57247.34244699751
